company_name,domain,notes
1951 Coffee,1951coffee.com,
Binge Coffee House,bingecoffeehouse.com,
Baker and Commons,bakerandcommons.com,
Mochi Holic,mochiholic.com,
The Mind Coffee,themindcoffee.com,
Qargo Coffee,qargocoffee.com,
Royal Coffee,royalcoffee.com,
Helacios Cafe,helacioscafe.com,
Caffe Strada,caffestrada.com,
Cafe Reveille,cafereveille.com,
Reveille Coffee,reveillecoffee.com,
Artis Coffee,artiscoffee.com,
Highwire Coffee,highwirecoffee.com,
Timeless Coffee,timelesscoffee.com,
Red Bay Coffee,redbaycoffee.com,
Teance,teance.com,
O Chamé,ochamode.com,
Boichik Bagels,boichikbagels.com,
Sconehenge Berkeley,sconehengeberkeley.com,
El Rey's Baked Goods,elreysbakedgoods.com,
Nothing Bundt Cakes,nothingbundtcakes.com,
Acme Bread,acmebread.com,
Nabolom Bakery,nabolombakery.com,
Tartine Bakery,tartinebakery.com,
Dandelion Chocolate,dandelionchocolate.com,
Cheese Board Collective,cheeseboardcollective.coop,
Yogurt Park,yogurtpark.com,
Cold Stone Creamery,coldstonecreamery.com,
I Scream Berkeley,iscreamberkeley.com,
The Yard Milkshake Bar,theyardmilkshakebar.com,
Everytable,everytable.com,
Ini Burger,iniburger.com,
Tacubaya,tacubaya.net,
Noodles Fresh,noodlesfresh.com,
Sobora Men,soboramen.com,
Thayir's Adam,thayirsadam.us,
Hana Japan,hanajapan.com,
Hawaiian Barbecue,hawaiianbarbecue.com,
Epicurean Group,epicurean-group.com,
Kitchen on Fire,kitchenonfire.com,
The Table Catering,thetablecatering.com,
The Grazing Company 510,thegrazingcompany510.com,
Fins N Feathers by JC,finsnfeathersbyjc.com,
Cult Crackers,cultcrackers.com,
Berkeley Bowl,berkeleybowl.com,
Natural Grocery,naturalgrocery.com,
Biritemarket,biritemarket.com,
Ecology Center,ecologycenter.org,
Berkeley Hort,berkeleyhort.com,
Cactus Jungle,cactusjungle.com,
Ashby Lumber,ashbylumber.com,
Berkeley Ace,berkeleyace.com,
All Natural Stone,allnaturalstone.com,
Wood Windows Warehouse,woodwindowswarehouse.com,
Rims and Goggles,rimsandgoggles.com,
DC Pianos,dcpianos.com,
Forrest's Music,forrestsmusic.com,
Games of Berkeley,gamesofberkeley.com,
Smiles Handcrafted,smiles-handcrafted.com,
Scents by the Bay,scentsbythebay.com,
Fern's Garden,fernsgarden.com,
Snoring Orange Studio,snoringorangestudio.com,
Sleepworks,sleepworks.com,
Core Chaud,corechaud.com,
Jia Home,jiahomeco.com,
Paraiso Plant,paraisoplant.studio,
Marree,marree.co,
Island Gurl Creations,islandgurlcreations.com,
Nina Designs,ninadesigns.com,
Chisel N Thread,chiselnthread.com,
Berkeley Flea Market,berkeleyfleamarket.com,
Stained Glass Garden,stainedglassgarden.com,
Fireclay Tile,fireclaytile.com,
Masaya,masayaco.com,
Top Drawer Shop,topdrawershop.com,
Earthsake,earthsake.com,
IL Equipment,ilequipment.com,
5 Little Monkeys,5littlemonkeys.com,
Ali Golden,aligolden.com,
Builders Book Source,buildersbooksource.com,
Mopps Toys,moppstoys.com,
Mopps Books,moppsbooks.com,
Moe's Books,moesbooks.com,
Pegasus Bookstore,pegasusbookstore.com,
Sleepy Cat Books,sleepycatbooks.com,
Asia Book Center,asiabookcenter.com,
Revolution Books,revolutionbooks.org,
BAMPFA,bampfa.org,
Mrs Dalloway's,mrsdalloways.com,
Heyday Books,heydaybooks.com,
Top Dog Hot Dogs,topdoghotdogs.com,
The Barkmont,the-barkmont.com,
Pets Can Go,petscango.com,
Berkeley Humane,berkeleyhumane.org,
Adeline Yoga,adelineyoga.com,
Love and Live Yoga,loveandliveyoga.com,
3 Score Gym,3scoregym.com,
Creations Berkeley,creationsberkeley.com,
Between the Ears,betweentheears.net,
Blaisdell's,blaisdells.com,
